NeRF Dataset Check Report
Path: E:\LET_ME_COOK\Captone\NeRF_finetuning\All_data

================================================================================
SUMMARY
================================================================================
Total objects: 230
  - Excellent (>80 frames): 230
  - Good (51-80 frames): 0
  - Medium (11-50 frames): 0
  - Low (<=10 frames): 0
  - Issues (missing files): 0

================================================================================
DETAILED LIST (all objects):
================================================================================
Object Name               Images     Transforms   Status
--------------------------------------------------------------------------------
bat_gom_16                180        180          ✅ EXCELLENT
binh_gom_100              180        180          ✅ EXCELLENT
binh_gom_101              180        180          ✅ EXCELLENT
binh_gom_102              180        180          ✅ EXCELLENT
binh_gom_103              180        180          ✅ EXCELLENT
binh_gom_104              180        180          ✅ EXCELLENT
binh_gom_105              180        180          ✅ EXCELLENT
binh_gom_106              180        180          ✅ EXCELLENT
binh_gom_107              180        180          ✅ EXCELLENT
binh_gom_108              180        180          ✅ EXCELLENT
binh_gom_109              180        180          ✅ EXCELLENT
binh_gom_110              180        180          ✅ EXCELLENT
binh_gom_111              180        180          ✅ EXCELLENT
binh_gom_112              180        180          ✅ EXCELLENT
binh_gom_113              180        180          ✅ EXCELLENT
binh_gom_114              180        180          ✅ EXCELLENT
binh_gom_115              180        180          ✅ EXCELLENT
binh_gom_116              180        180          ✅ EXCELLENT
binh_gom_117              180        180          ✅ EXCELLENT
binh_gom_118              180        180          ✅ EXCELLENT
binh_gom_119              180        180          ✅ EXCELLENT
binh_gom_120              180        180          ✅ EXCELLENT
binh_gom_121              180        180          ✅ EXCELLENT
binh_gom_122              180        180          ✅ EXCELLENT
binh_gom_123              180        180          ✅ EXCELLENT
binh_gom_124              180        180          ✅ EXCELLENT
binh_gom_54               180        180          ✅ EXCELLENT
binh_gom_55               180        180          ✅ EXCELLENT
binh_gom_56               180        180          ✅ EXCELLENT
binh_gom_57               180        180          ✅ EXCELLENT
binh_gom_58               180        180          ✅ EXCELLENT
binh_gom_59               180        180          ✅ EXCELLENT
binh_gom_60               180        180          ✅ EXCELLENT
binh_gom_61               180        180          ✅ EXCELLENT
binh_gom_62               180        180          ✅ EXCELLENT
binh_gom_63               180        180          ✅ EXCELLENT
binh_gom_65               180        180          ✅ EXCELLENT
binh_gom_66               180        180          ✅ EXCELLENT
binh_gom_67               180        180          ✅ EXCELLENT
binh_gom_68               180        180          ✅ EXCELLENT
binh_gom_69               180        180          ✅ EXCELLENT
binh_gom_70               180        180          ✅ EXCELLENT
binh_gom_71               180        180          ✅ EXCELLENT
binh_gom_72               180        180          ✅ EXCELLENT
binh_gom_73               180        180          ✅ EXCELLENT
binh_gom_74               180        180          ✅ EXCELLENT
binh_gom_75               180        180          ✅ EXCELLENT
binh_gom_76               180        180          ✅ EXCELLENT
binh_gom_77               180        180          ✅ EXCELLENT
binh_gom_78               180        180          ✅ EXCELLENT
binh_gom_79               180        180          ✅ EXCELLENT
binh_gom_80               180        180          ✅ EXCELLENT
binh_gom_81               180        180          ✅ EXCELLENT
binh_gom_82               180        180          ✅ EXCELLENT
binh_gom_83               180        180          ✅ EXCELLENT
binh_gom_85               180        180          ✅ EXCELLENT
binh_gom_86               180        180          ✅ EXCELLENT
binh_gom_87               180        180          ✅ EXCELLENT
binh_gom_88               180        180          ✅ EXCELLENT
binh_gom_89               180        180          ✅ EXCELLENT
binh_gom_90               180        180          ✅ EXCELLENT
binh_gom_91               180        180          ✅ EXCELLENT
binh_gom_92               180        180          ✅ EXCELLENT
