object,num_frames
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_16,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_2,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_7,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_9,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_1,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_10,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_100,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_105,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_106,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_108,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_11,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_111,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_112,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_113,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_116,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_117,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_119,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_121,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_122,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_13,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_15,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_16,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_19,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_2,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_23,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_24,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_26,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_29,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_3,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_32,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_35,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_36,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_37,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_39,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_4,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_41,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_42,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_43,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_44,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_47,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_50,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_53,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_56,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_57,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_58,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_59,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_6,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_61,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_66,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_67,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_68,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_7,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_71,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_72,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_74,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_75,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_78,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_8,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_81,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_87,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_9,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_92,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_94,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_1,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_11,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_12,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_13,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_14,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_17,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_18,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_19,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_25,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_27,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_28,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_3,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_30,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_32,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_34,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_39,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_41,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_42,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_43,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_45,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_46,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_47,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_49,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_5,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_50,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_52,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_56,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_57,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_58,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_59,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_6,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_60,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_61,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_62,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_63,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_64,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_66,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_67,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_68,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_70,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_71,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_72,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_73,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_75,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_76,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_77,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_78,180
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_8,180
